#FAMILIES
leafFamily	familyPath
Abaza–Abkhaz	Northwest Caucasian;;Abaza–Abkhaz
Admiralty Islands?	Malayo-Polynesian;;Oceanic;;Admiralty Islands?
Akuapem–Fante	Atlantic–Congo;;Volta–Congo;;Kwa;;Potou–Tano;;Tano;;Central Tano;;Akan;;Core Akan;;Akuapem–Fante
Albanoid	Albanoid
Alemannic	Germanic;;West Germanic;;Elbe Germanic;;High German;;Upper German;;Alemannic
Amharic–Argobba	Semitic;;West Semitic;;South Semitic;;Ethiopic;;South;;Transversal;;Amharic–Argobba
Anglic	Germanic;;West Germanic;;North Sea Germanic;;Anglo-Frisian;;Anglic
Anglo-Frisian	Germanic;;West Germanic;;North Sea Germanic;;Anglo-Frisian
Anglo-Norman	Italic;;Latino-Faliscan;;Latinic;;Romance;;Italo-Western;;Western;;Gallo-Iberian?;;Gallo-Romance;;Gallo-Rhaetian?;;Arpitan–Oïl;;Oïl;;Frankish zone;;Northern Norman;;Anglo-Norman
Arabic	Semitic;;West Semitic;;Central Semitic;;Arabic
Araona–Tacana	Pano–Tacanan;;Tacanan;;Araona–Tacana
Arpitan–Oïl	Italic;;Latino-Faliscan;;Latin;;Romance;;Italo-Western;;Western Romance;;Gallo-Iberian?;;Gallo-Romance;;Gallo-Rhaetian?;;Arpitan–Oïl
Asante-Akyem-Kwahu dialect	Atlantic–Congo;;Volta–Congo;;Kwa;;Potou–Tano;;Tano;;Central Tano;;Akan;;Core Akan;;Asante-Akyem-Kwahu dialect
Asturleonese	Italic;;Latino-Faliscan;;Latin;;Romance;;Italo-Western;;Western;;Ibero-Romance;;West Iberian;;Asturleonese
Atlantic–Congo	Atlantic–Congo
Austroasiatic	Austroasiatic
Awadhi	Indo-Iranian;;Indo-Aryan;;Central;;Eastern Hindi;;Awadhi
Aymaran	Aymaran
BANZSL	BANZSL
Bambara–Dyula	Niger–Congo?;;Mande;;Western;;Manding;;East;;Bambara–Dyula
Bangi	Atlantic–Congo;;Benue–Congo;;Southern Bantoid;;Bantu (Zone C);;Bangi–Ntomba (C.30);;Bangi–Moi;;Bangi
Bantu (Zone R)	Atlantic–Congo;;Volta-Congo;;Benue–Congo;;Bantoid;;Southern Bantoid;;Bantu (Zone R)
Batanic	Malayo-Polynesian;;Philippine;;Batanic
Beijingese	Sinitic;;Chinese;;Mandarin;;Beijing Mandarin;;Beijingese
Bengali–Assamese	Indo-Iranian;;Indo Aryan;;Eastern;;Bengali–Assamese
Berta languages	Berta languages
Betawi	Malay-based creole;;Betawi
Bhojpuri	Indo-Iranian;;Indo-Aryan;;Central;;Eastern Hindi;;Bhojpuri
Bihari	Indo-Iranian;;Indo-Aryan;;Eastern;;Bihari
Bisayan	Malayo-Polynesian;;Philippine;;Greater Central Philippine;;Central Philippine;;Bisayan
Bisa–Busa	Mande;;Eastern;;Bisa–Busa
Bodish	Tibeto-Burman;;Tibeto-Kanauri (?);;Bodish
Bolivian	Panoan;;Mainline Panoan;;Nawa;;Bolivian
Boroic	Tibeto-Burman;;Central Tibeto-Burman languages (?);;Sal;;Boro–Garo;;Boroic
Boro–Garo	Tibeto-Burman;;Central Tibeto-Burman (?);;Sal;;Boro–Garo
Botatwe	Atlantic–Congo;;Benue–Congo;;Bantoid;;Bantu;;Botatwe
Bourbonnais Creole	French Creole;;Bourbonnais Creole
Burmese	Tibeto-Burman;;Lolo-Burmese;;Burmish;;Burmese
Burmish	Tibeto-Burman;;Lolo-Burmese;;Burmish
Buryat–Mongolian	Mongolic;;Central Mongolic;;Buryat–Mongolian
Butuan–Tausug	Malayo-Polynesian;;Philippine;;Greater Central Philippine;;Central Philippine;;Bisayan;;Southern Bisayan;;Butuan–Tausug
Bʼaga	Komuz?;;Bʼaga
Cagayan Valley	Malayo-Polynesian;;Philippine;;Northern Luzon;;Cagayan Valley
Caspian	Indo-Iranian;;Iranian;;Western;;Northwestern;;Caspian
Castilian	Italic;;Latino-Faliscan;;Latin;;Romance;;Italo-Western;;Western Romance;;Gallo-Iberian?;;Ibero-Romance;;West Iberian;;Castilian
Cavinena–Tacana	Pano–Tacanan;;Tacanan;;Araona–Tacana;;Cavinena–Tacana
Central	Sámi;;Western;;Central
Central Bisayan	Malayo-Polynesian;;Philippine;;Greater Central Philippine;;Central Philippine;;Bisayan;;Central Bisayan
Central Finnic	Finnic;;Southern Finnic;;Central Finnic
Central Luzon	Malayo-Polynesian;;Philippine;;Central Luzon
Central Philippine	Malayo-Polynesian;;Philippine;;Greater Central Philippine;;Central Philippine
Central Semitic	Semitic;;West Semitic;;Central Semitic
Central Tai	Kam–Tai;;Be–Tai ?;;Tai;;Central Tai
Central–Eastern Kamta	Indo-Iranian;;Indo-Aryan;;Eastern;;Odia–Bengali–Assamese;;Bengali–Assamese;;Kamrupa;;Kamta;;Central–Eastern Kamta
Chakavian	Balto-Slavic;;Slavic;;South Slavic;;Western;;Chakavian
Chiang Saen	Kam–Tai;;Tai;;Southwestern;;Chiang Saen
Chinese	Sinitic;;Chinese
Chokwe–Luchazi (K.10)	Atlantic–Congo;;Volta-Congo;;Benue–Congo;;Bantoid;;Southern Bantoid;;Bantu (Zone K);;Chokwe–Luchazi (K.10)
Chuanqiandian cluster	Hmongic;;Core Hmongic;;West Hmongic;;Chuanqiandian cluster
Chuukic	Malayo-Polynesian;;Oceanic;;Micronesian;;Micronesian Proper;;Nuclear Micronesian;;Chuukic–Pohnpeic;;Chuukic
Circum-Caribbean French	French Creole;;Circum-Caribbean French
Coastal	Malayo-Polynesian;;Chamic;;Coastal
Czech–Slovak	Balto-Slavic;;Slavic;;West Slavic;;Czech–Slovak
Damascene Aramaic	Semitic;;West Semitic;;Central Semitic;;Northwest Semitic;;Aramaic;;Western;;Damascene Aramaic
Danish Sign	French Sign;;Danish Sign
Dano-Norwegian	Germanic;;North Germanic;;East Scandinavian;;Danish;;Dano-Norwegian
Dardic	Indo-Iranian;;Indo-Aryan;;Dardic
Didinga–Murle	Eastern Sudanic?;;Southern Eastern?;;Surmic;;Southern;;Southwest;;Didinga–Murle
Dutch	Germanic;;West Germanic;;Weser–Rhine Germanic;;Low Franconian;;Dutch
Dzongkha–Lhokä	Tibeto-Burman;;Tibeto-Kanauri (?);;Bodish;;Tibetic;;Dzongkha–Lhokä
Early Papiamento	Portuguese Creole;;Afro-Portuguese Creole;;Upper Guinea Creole;;Early Papiamento
East	Niger–Congo?;;Mande;;Western;;Manding;;East
East Baltic	Balto-Slavic;;Baltic;;East Baltic
East Barito	Malayo-Polynesian;;Western Indonesian;;Barito;;East Barito
East Fijian	Austronesian;;Malayo-Polynesian;;Oceanic;;Central Pacific;;East Central Pacific;;East Fijian
East Lechitic	Balto-Slavic;;Slavic;;West Slavic;;Lechitic;;East Lechitic
East Low German	Germanic;;West Germanic;;North Sea Germanic;;Low German;;East Low German
East Scandinavian	Germanic;;North Germanic;;East Scandinavian
East Slavic	Balto-Slavic;;Slavic;;East Slavic
Eastern	Balto-Slavic;;Slavic;;South Slavic;;Eastern
Eastern Dardic	Indo-Iranian;;Indo-Aryan;;Eastern Dardic
Eastern Karluk	Turkic;;Common Turkic;;Karluk;;Eastern Karluk
Eastern Pahari	Indo-Iranian;;Indo-Aryan;;Northern Zone;;Eastern Pahari
Eastern Romance	Italic;;Latino-Faliscan;;Latin;;Romance;;Eastern Romance
Eastern Romanian?	Italic;;Latino-Faliscan;;Latin;;Romance;;Eastern;;Northern Romanian?;;Eastern Romanian?
Eastern Slovak	Balto-Slavic;;Slavic;;West Slavic;;Czech–Slovak;;Slovak;;Eastern Slovak
Eastern South Slavic	Balto-Slavic;;Slavic;;South Slavic;;Eastern South Slavic
Edekiri	Atlantic–Congo;;Volta-Congo;;Volta–Niger;;Yoruboid;;Edekiri
Egyptian	Egyptian
Ellicean	Malayo-Polynesian;;Oceanic;;Polynesian;;Ellicean
Ems	Germanic;;West Germanic;;North Sea Germanic;;Anglo-Frisian;;Frisian;;East Frisian;;Ems
Finnish Braille	Finnic;;Northern Finnic;;Finnish Braille
Florentine dialect	Italic;;Latino-Faliscan;;Latin;;Romance;;Italo-Western;;Italo-Dalmatian;;Italo-Romance;;Tuscan;;Northern Tuscan dialects;;Florentine dialect
Francien zone	Italic;;Latino-Faliscan;;Latinic;;Romance;;Italo-Western;;Western Romance;;Gallo-Iberian;;Gallo-Romance;;Gallo-Rhaetian?;;Arpitan–Oïl;;Oïl;;Francien zone
French Sign	French Sign
Frisian	Germanic;;West Germanic;;North Sea Germanic;;Anglo-Frisian?;;Frisian
Fula–Wolof	Atlantic–Congo;;West Atlantic;;Senegambian;;Fula–Wolof
Fuzhou	Sinitic;;Chinese;;Min;;Coastal Min;;Eastern Min;;Houguan;;Fuzhou
Ga-Dangme	Atlantic–Congo;;Volta-Congo;;Kwa;;Ga-Dangme
Galician-Portuguese	Italic;;Latino-Faliscan;;Latin;;Romance;;Italo-Western;;Western Romance;;Ibero-Romance;;West Iberian;;Galician-Portuguese
Galician–Portuguese	Italic;;Latino-Faliscan;;Latin;;Romance;;Italo-Western;;Western;;Ibero-Romance;;West Iberian;;Galician–Portuguese
Ga–Dangme	Atlantic–Congo;;Volta-Congo;;Kwa;;Ga–Dangme
Gbe	Atlantic-Congo;;Volta–Congo;;Volta-Niger;;Gbe
German Sign Language family	German Sign Language family
Goidelic	Celtic;;Insular Celtic;;Goidelic
Greenlandic	Eskimo;;Inuit;;Greenlandic
