# Movies — per-class distinct-qid counts, one row per save
2026-08-10T00:45:01	total=200	Movies=200
2026-08-10T00:53:40	total=20000	Movies=20000
2026-08-10T01:22:44	total=20000	Movies=20000
2026-08-10T22:08:02	total=20000	Movies=20000
2026-08-11T15:26:34	total=31630	Movies=31630
2026-08-11T20:18:25	total=20000	Movies=20000
2026-08-11T21:13:53	total=20000	Movies=20000
2026-08-12T00:33:36	total=20000	Movies=20000
# counts every saved entity by class membership (ids include statement ids); classes overlap, so columns may exceed total
2026-08-19T19:38:21	total=20000	Movies=20000
2026-08-20T10:13:20	total=20000	Movies=20000
2026-08-20T11:07:40	total=20000	Movies=20000
2026-08-20T13:13:47	total=20000	Movies=20000
