1	Divisions of the field
1.1	Undivided
1.1.1	Plain white field
1.1.1.1	Plain white field, with mobile charge(s)
1.1.2	Plain black field
1.1.2.1	Plain black field, with mobile charge(s)
1.1.3	Plain grey field
1.1.3.1	Plain grey field, with mobile charge(s)
1.1.4	Plain blue field
1.1.4.1	Plain blue field, with mobile charge(s)
1.1.5	Plain azure field
1.1.5.1	Plain azure field, with mobile charge(s)
1.1.6	Plain cyan field
1.1.6.1	Plain cyan field, with mobile charge(s)
1.1.7	Plain green field
1.1.7.1	Plain green field, with mobile charge(s)
1.1.8	Plain brown field
1.1.8.1	Plain brown field, with mobile charge(s)
1.1.9	Plain buff field
1.1.9.1	Plain buff field, with mobile charge(s)
1.1.10	Plain gold, yellow field
1.1.10.1	Plain gold, yellow, with mobile charge(s)
1.1.11	Plain orange field
1.1.11.1	Plain orange field, with mobile charge(s)
1.1.12	Plain red field
1.1.12.1	Plain red field, with mobile charge(s)
1.1.13	Plain pink field
1.1.13.1	Plain pink field, with mobile charge(s)
1.1.14	Plain raspberry field
1.1.14.1	Plain raspberry field, with mobile charge(s)
1.1.15	Plain maroon field
1.1.15.1	Plain maroon field, with mobile charge(s)
1.1.16	Plain purple field
1.1.16.1	Plain purple field, with mobile charge(s)
1.2	Vertical division of the field
1.2.1	Biband, vertical (Party per pale)
1.2.2	Triband, vertical (Tierced in pale)
1.2.2.1	Equal width vertical triband
1.2.2.1.1	Bicolor equal width vertical triband
1.2.2.1.1.1	Bicolor equal width vertical triband, plain
1.2.2.1.1.2	Bicolor equal width vertical triband, charged
1.2.2.1.2	Tricolor equal width vertical triband
1.2.2.1.2.1	Tricolor equal width vertical triband, plain
1.2.2.1.2.2	Tricolor equal width vertical triband, charged
1.2.2.2	Other equal width vertical triband
1.2.2.3	Unequal width vertical triband
1.2.2.3.1	Canadian pale
1.2.2.3.1.1	Canadian pale adjacent
1.2.2.3.2	Other unequal width vertical triband
1.2.3	Multiband, vertical
1.2.3.1	Equal width vertical multiband
1.2.3.2	Unequal width vertical multiband
1.3	Horizontal division of the field
1.3.1	Biband, horizontal (Party per fess)
1.3.1.1	Horizontal biband, plain
1.3.1.2	Horizontal biband, charged
1.3.1.3	Other biband
1.3.2	Triband, horizontal (Tierced in fess)
1.3.2.1	Equal height horizontal triband
1.3.2.1.1	Bicolor equal height horizontal triband
1.3.2.1.1.1	Bicolor equal height horizontal triband, plain
1.3.2.1.1.2	Bicolor equal height horizontal triband, charged
1.3.2.1.2	Tricolor equal height horizontal triband
1.3.2.1.2.1	Tricolor equal height horizontal triband, plain
1.3.2.1.2.2	Tricolor equal height horizontal triband, charged
1.3.2.1.2.3	Fimbriated (or filleted) equal height horizontal triband
1.3.2.2	Unequal height horizontal triband
1.3.2.2.1	Unequal horizontal triband, center band wider than 1/3 but narrower than 1/2 hoist
1.3.2.2.2	Spanish fess
1.3.2.2.2.1	Bicolor Spanish fess
1.3.2.2.2.2	Tricolor Spanish fess
1.3.2.2.3	Unequal horizontal triband, center band wider than 1/2 hoist
1.3.2.2.3.1	Center band slightly wider than 1/2 height of hoist
1.3.2.2.3.2	Center band 3/5's height of hoist
1.3.2.2.3.3	Center band almost 3/5's height of hoist
1.3.2.2.3.4	Center band more than 3/5's height of hoist
1.3.2.2.4	Wide center band, fimbriated
1.3.2.2.5	'Andean chief'*
1.3.2.2.5.1	'Andean chief' adjacent
1.3.2.2.5.2	'Andean chief' adjacent, inverted
1.3.2.2.6	Bar
1.3.2.2.6.1	Bar adjacent
1.3.2.2.7	Other unequal height horizontal triband
1.3.3	Multiband, horizontal
1.3.3.1	Equal height horizontal multiband
1.3.3.1.1	Tricolor equal height horizontal multiband
1.3.3.2	Unequal height horizontal multiband
1.3.3.2.1	Quadriband
1.3.3.2.2	Pentaband and more
1.4	Tripart (aka 'Tribar'), coupé mi-parti
1.5	Diagonal division of the field
1.5.1	Diagonally bisected
1.5.1.1	Party per bend
1.5.1.2	Party per bend sinister
1.5.2	Diagonally trisected (Tierced per bend) etc.
1.5.3	Other divisions of field per bend
1.5.4	Party per bend and demi-bend*
1.6	Quartered (Party per cross)
1.6.1	Quadrisected off-center (Party per cross asymmetric)
1.7	Diagonally quartered (Party per saltire)
1.8	Pile or Triangle as division of the field
1.9	Irregular quadrilateral partition of field
1.10	Wave
1.10.1	Horizontal
1.10.1.1	Angular horizontal
1.10.2	Vertical
1.10.3	Diagonal
1.11	Other divisions of the field
2	Variations of the field
2.1	Stripes
2.1.1	Horizontal (barry)
2.1.2	Vertical (paly)
2.1.3	Diagonal (bendy)
2.1.4	Chevronny
2.2	Checkered (Chequy)
2.2.1	Checkering (Chequy) as variation of charge
2.3	Lozengy
2.4	Fusilly
2.4.1	Mascles
2.4.2	Rustré
2.5	Gyronny
2.5.1	Of six
2.5.2	Of seven
2.5.3	Of eight
2.5.4	Of ten
2.5.5	Of twelve
2.5.6	Of sixteen
2.5.7	Of twenty-four
2.5.8	Of twenty-eight
2.6	Ray
2.6.1	Ray as variation of charge
2.7	Semé
2.8	Fur tinctures
2.8.1	Ermine
2.8.2	Vair
2.8.2.1	Vair ancien/ondé (Wolkenfeh)
2.9	Endenté (barry indented / dantelado / trianglé)
2.9.1	Endenté as variation of charge
2.10	Diapering as variation of field
2.10.1	Diapering as variation of charge
2.10.2	Diapering as charge
2.10.2.1	Diapering as pale and pale retrait
2.10.2.2	Diapering as orle and bordure
2.10.3	Charge as diapering
2.10.3.1	Calligraphic or typographic charge as diapering
2.10.3.2	Figurative or decorative charge as diapering
2.10.4	Lines of division and variation as diapering
2.11	Plaid
3	Charges, Fixed
3.1	Pale
3.1.1	Pallet
3.1.2	Endorse
3.1.3	Pales retraits as pallets or endorses
3.2	Fess
3.3	Bars
3.3.1	Bar gemel
3.3.1.1	Vertical bar gemel*
3.3.2	Dual bars*
3.3.2.1	Vertical dual bars*
3.3.3	Tierce and adjacent
3.3.4	Other bar divided and parted
3.4	Bend
3.4.1	Bend dexter
3.4.1.1	Bend dexter (West-East diagonal, Reduced bend)
3.4.1.2	Bend dexter (West-South diagonal)
3.4.1.3	Bend dexter (North-East diagonal)
3.4.1.4	Bend dexter (North-South diagonal, Enhanced bend)
3.4.2	Bend sinister
3.4.2.1	Bend sinister (East-West diagonal, Reduced bend sinister)
3.4.2.2	Bend sinister (West-North diagonal)
3.4.2.3	Bend sinister (South-East diagonal)
3.4.2.4	Bend sinister (South-North diagonal, Enhanced bend sinister)
3.5	Cross
3.5.1	Symmetric cross
3.5.1.1	Symmetric cross couped
3.5.1.2	Symmetric + Saltire
3.5.2	Offset cross (Nordic / Latin)
3.5.2.1	Offset cross enhanced
