name,category,year,gender,nationality,age_at_award,filename,portrait_url,portrait_error
Albert Einstein,Nobel Prize in Physics,,male,United States,,Albert_Einstein.png,https://commons.wikimedia.org/wiki/Special:FilePath/Albert Einstein Head cleaned.jpg?width=512,
Albert Einstein,Nobel Prize in Physics,,male,Switzerland,,Albert_Einstein.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Albert_Einstein_Head_cleaned.jpg/960px-Albert_Einstein_Head_cleaned.jpg,
Albert Einstein,Nobel Prize in Physics,,male,Germany,,Albert_Einstein.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Albert_Einstein_Head_cleaned.jpg/960px-Albert_Einstein_Head_cleaned.jpg,
Albert Einstein,Nobel Prize in Physics,,male,Weimar Republic,,Albert_Einstein.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Albert_Einstein_Head_cleaned.jpg/960px-Albert_Einstein_Head_cleaned.jpg,
Albert Einstein,Nobel Prize in Physics,,male,Kingdom of Württemberg,,Albert_Einstein.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Albert_Einstein_Head_cleaned.jpg/960px-Albert_Einstein_Head_cleaned.jpg,
Albert Einstein,Nobel Prize in Physics,,male,statelessness,,Albert_Einstein.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Albert_Einstein_Head_cleaned.jpg/960px-Albert_Einstein_Head_cleaned.jpg,
Albert Einstein,Nobel Prize in Physics,,male,Cisleithania,,Albert_Einstein.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Albert_Einstein_Head_cleaned.jpg/960px-Albert_Einstein_Head_cleaned.jpg,
John Bardeen,Nobel Prize in Physics,,male,United States,,John_Bardeen.png,https://commons.wikimedia.org/wiki/Special:FilePath/Bardeen.jpg?width=512,
Niels Bohr,Nobel Prize in Physics,,male,Kingdom of Denmark,,Niels_Bohr.png,https://commons.wikimedia.org/wiki/Special:FilePath/Niels Bohr.jpg?width=512,
Marie Curie,Nobel Prize in Physics,,female,France,,Marie_Curie.png,https://commons.wikimedia.org/wiki/Special:FilePath/Marie Curie (1900) (cropped).jpg?width=512,
Marie Curie,Nobel Prize in Physics,,female,Russian Empire,,Marie_Curie.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Marie_Curie_c._1920s.jpg/960px-Marie_Curie_c._1920s.jpg,
Marie Curie,Nobel Prize in Physics,,female,Second Polish Republic,,Marie_Curie.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Marie_Curie_c._1920s.jpg/960px-Marie_Curie_c._1920s.jpg,
Enrico Fermi,Nobel Prize in Physics,,male,United States,,Enrico_Fermi.png,https://commons.wikimedia.org/wiki/Special:FilePath/Enrico Fermi 1943-49.jpg?width=512,
Enrico Fermi,Nobel Prize in Physics,,male,Italy,,Enrico_Fermi.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Enrico_Fermi_1943-49.jpg/960px-Enrico_Fermi_1943-49.jpg,
Enrico Fermi,Nobel Prize in Physics,,male,Kingdom of Italy,,Enrico_Fermi.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Enrico_Fermi_1943-49.jpg/960px-Enrico_Fermi_1943-49.jpg,
Max Planck,Nobel Prize in Physics,,male,German Reich,,Max_Planck.png,https://commons.wikimedia.org/wiki/Special:FilePath/Max Planck.png?width=512,
Erwin Schrödinger,Nobel Prize in Physics,,male,Germany,,Erwin_Schrödinger.png,https://commons.wikimedia.org/wiki/Special:FilePath/Erwin Schrödinger - Narodowe Archiwum Cyfrowe (1-E-939).jpg?width=512,Download failed
Erwin Schrödinger,Nobel Prize in Physics,,male,Nazi Germany,,Erwin_Schrödinger.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Erwin_Schr%C3%B6dinger_-_Narodowe_Archiwum_Cyfrowe_%281-E-939%29.jpg/960px-Erwin_Schr%C3%B6dinger_-_Narodowe_Archiwum_Cyfrowe_%281-E-939%29.jpg,
Erwin Schrödinger,Nobel Prize in Physics,,male,Cisleithania,,Erwin_Schrödinger.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Erwin_Schr%C3%B6dinger_-_Narodowe_Archiwum_Cyfrowe_%281-E-939%29.jpg/960px-Erwin_Schr%C3%B6dinger_-_Narodowe_Archiwum_Cyfrowe_%281-E-939%29.jpg,
Charles K. Kao,Nobel Prize in Physics,,male,United States,,Charles_K_Kao.png,https://commons.wikimedia.org/wiki/Special:FilePath/Charles K. Kao cropped 2.jpg?width=512,
Charles K. Kao,Nobel Prize in Physics,,male,United Kingdom,,Charles_K_Kao.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Charles_K._Kao_cropped_2.jpg/960px-Charles_K._Kao_cropped_2.jpg,
Abdus Salam,Nobel Prize in Physics,,male,Pakistan,,Abdus_Salam.png,https://commons.wikimedia.org/wiki/Special:FilePath/Abdus Salam 1987 (cropped).jpg?width=512,
Abdus Salam,Nobel Prize in Physics,,male,British Raj,,Abdus_Salam.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Abdus_Salam_1987.jpg/960px-Abdus_Salam_1987.jpg,
Wilhelm Röntgen,Nobel Prize in Physics,,male,Kingdom of Prussia,,Wilhelm_Röntgen.png,"https://commons.wikimedia.org/wiki/Special:FilePath/Wilhelm Conrad Röntgen (1888-1900), 88374 p.jpg?width=512",Download failed
Wilhelm Röntgen,Nobel Prize in Physics,,male,Weimar Republic,,Wilhelm_Röntgen.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Wilhelm_Conrad_R%C3%B6ntgen_%281888-1900%29%2C_88374_p.jpg/960px-Wilhelm_Conrad_R%C3%B6ntgen_%281888-1900%29%2C_88374_p.jpg,
